,module_id,gene_id,gene_name,seqid,strand,lsv_id,event_id,complex,module_event_combination,denovo,junction_name,junctions_coords,event_non_changing,event_changing,junction_changing,refPSI,KDSoma_median_psi,deltaPSI,prob,padjust,event,abs(deltaPSI)
82,ENSG00000115355.18_3,ENSG00000115355.18,CCDC88A,chr2,-,ENSG00000115355.18:t:55300253-55300653,ENSG00000115355.18_3_MES_4,TRUE,cassette^3|alt3^1|putative_alt5^1|ir^14|afe^2|multi_exon_spanning^5|other^1,FALSE,A_C2,chr2:55300654-55300956,FALSE,FALSE,TRUE,0.003,0.29,0.265,1,0,cassette,0.265
83,ENSG00000115504.15_3,ENSG00000115504.15,EHBP1,chr2,+,ENSG00000115504.15:s:62831019-62831158,ENSG00000115504.15_3_CE_1,FALSE,cassette^1,FALSE,C1_C2,chr2:62831158-62859169,FALSE,FALSE,TRUE,0.038,0.209,-0.171,0.997,0.001,skipping,0.171
84,ENSG00000116299.17_4,ENSG00000116299.17,ELAPOR1,chr1,+,ENSG00000116299.17:s:109197474-109197654,ENSG00000116299.17_4_CE_1,TRUE,cassette^1|ir^2,TRUE,C1_C2,chr1:109197654-109198573,FALSE,TRUE,TRUE,0.018,0.241,-0.216,1,0,skipping,0.216
85,ENSG00000116544.12_1,ENSG00000116544.12,DLGAP3,chr1,-,ENSG00000116544.12:s:34929069-34929650,ENSG00000116544.12_1_CE_1,TRUE,cassette^1|alt5^1|putative_alt5^1|ir^3|afe^3|multi_exon_spanning^4,TRUE,C1_A,chr1:34929068-34929451,FALSE,FALSE,TRUE,0.001,0.232,0.206,1,0,cassette,0.206
86,ENSG00000117020.19_3,ENSG00000117020.19,AKT3,chr1,-,ENSG00000117020.19:s:243545510-243545648,ENSG00000117020.19_3_TCE_1,FALSE,tandem_cassette^1|multi_exon_spanning^1,TRUE,C1_A,chr1:243527864-243545510,FALSE,TRUE,TRUE,0.002,0.228,0.203,1,0,cassette,0.203
87,ENSG00000117154.12_1,ENSG00000117154.12,IGSF21,chr1,+,ENSG00000117154.12:s:18227898-18228010,ENSG00000117154.12_1_CE_1,FALSE,cassette^1,TRUE,C1_A,chr1:18228010-18281081,FALSE,FALSE,TRUE,0.003,0.494,0.481,1,0,cassette,0.481
88,ENSG00000117419.16_2,ENSG00000117419.16,ERI3,chr1,-,ENSG00000117419.16:s:44247939-44247966,ENSG00000117419.16_2_CE_2,TRUE,cassette^2|mxe^1|ir^3|multi_exon_spanning^3|other^1,FALSE,C1_A,chr1:44242080-44247939,FALSE,FALSE,TRUE,0.011,0.171,0.149,1,0,cassette,0.149
89,ENSG00000120685.20_2,ENSG00000120685.20,PROSER1,chr13,-,ENSG00000120685.20:s:39022326-39022742,ENSG00000120685.20_2_CE_1,TRUE,cassette^2|tandem_cassette^1|ir^5|multi_exon_spanning^2,TRUE,C1_A,chr13:39018913-39022326,FALSE,FALSE,TRUE,0.001,0.14,0.118,0.988,0.005,cassette,0.118
90,ENSG00000120837.8_2,ENSG00000120837.8,NFYB,chr12,-,ENSG00000120837.8:t:104117086-104119769,ENSG00000120837.8_2_pAFE_1,TRUE,cassette^1|alt3^3|ale^1|afe^1|putative_afe^11|orphan_junc^2|other^1,TRUE,Proximal,chr12:104117326-104125242,FALSE,FALSE,TRUE,0.001,0.145,0.119,0.968,0.015,AFE/ALE,0.119
91,ENSG00000120860.11_1,ENSG00000120860.11,WASHC3,chr12,-,ENSG00000120860.11:t:102046054-102046119,ENSG00000120860.11_1_CE_2,TRUE,cassette^2|mxe^1|multi_exon_spanning^1,FALSE,C2_A,chr12:102046119-102050518,FALSE,FALSE,FALSE,0.018,0.125,0.1,0.921,0.04,cassette,0.1
92,ENSG00000120868.14_1,ENSG00000120868.14,APAF1,chr12,+,ENSG00000120868.14:s:98648626-98649240,ENSG00000120868.14_1_A5_2,TRUE,alt5^3,TRUE,Proximal,chr12:98649240-98649487,FALSE,FALSE,TRUE,0.021,0.179,0.145,0.97,0.01,AFE/ALE,0.145
93,ENSG00000121281.13_1,ENSG00000121281.13,ADCY7,chr16,+,ENSG00000121281.13:s:50246137-50246203,ENSG00000121281.13_1_CE_1,TRUE,cassette^1|ale^2|multi_exon_spanning^1,TRUE,C1_A,chr16:50246203-50246881,FALSE,TRUE,TRUE,0.002,0.317,0.296,1,0,cassette,0.296
94,ENSG00000122694.16_1,ENSG00000122694.16,GLIPR2,chr9,+,ENSG00000122694.16:s:36148547-36148650,ENSG00000122694.16_1_ale_1,FALSE,ale^1,FALSE,Distal,chr9:36148650-36162362,FALSE,FALSE,FALSE,0.026,0.211,0.154,0.918,0.017,AFE/ALE,0.154
95,ENSG00000122756.15_1,ENSG00000122756.15,CNTFR,chr9,-,ENSG00000122756.15:s:34590082-34590140,ENSG00000122756.15_1_MES_2,TRUE,cassette^2|afe^4|putative_afe^3|multi_exon_spanning^2,,C1_A,chr9:,FALSE,FALSE,TRUE,0.004,0.165,0.138,0.992,0.003,cassette,0.138
96,ENSG00000122783.17_2,ENSG00000122783.17,CYREN,chr7,-,ENSG00000122783.17:s:135168304-135169060,ENSG00000122783.17_2_MES_1,TRUE,alt5^1|multi_exon_spanning^2|other^1,FALSE,C1_A,chr7:135167807-135168749,FALSE,FALSE,TRUE,0.006,0.17,0.138,0.978,0.008,cassette,0.138
97,ENSG00000123066.9_2,ENSG00000123066.9,MED13L,chr12,-,ENSG00000123066.9:s:116096669-116096911,ENSG00000123066.9_2_CE_1,FALSE,cassette^1,TRUE,C1_A,chr12:116054357-116096669,FALSE,FALSE,TRUE,0.001,0.147,0.124,0.996,0.002,cassette,0.124
98,ENSG00000124222.22_3,ENSG00000124222.22,STX16,chr20,+,ENSG00000124222.22:t:58673631-58673711,ENSG00000124222.22_3_CE_1,FALSE,cassette^1,FALSE,C2_C1,chr20:58670603-58673631,FALSE,FALSE,TRUE,0.014,0.126,-0.101,0.951,0.025,skipping,0.101
99,ENSG00000124788.19_2,ENSG00000124788.19,ATXN1,chr6,-,ENSG00000124788.19:s:16657776-16657901,ENSG00000124788.19_2_CE_1,TRUE,cassette^3|alt5^3|ir^2|ale^2|multi_exon_spanning^4,TRUE,C1_A,chr6:16589513-16657776,FALSE,FALSE,TRUE,0.001,0.366,0.347,1,0,cassette,0.347
100,ENSG00000124788.19_2,ENSG00000124788.19,ATXN1,chr6,-,ENSG00000124788.19:t:16585780-16585907,ENSG00000124788.19_2_MES_1,TRUE,cassette^3|alt5^3|ir^2|ale^2|multi_exon_spanning^4,,A_C2,chr6:,FALSE,FALSE,TRUE,0.001,0.184,0.161,1,0,cassette,0.161
101,ENSG00000125304.10_1,ENSG00000125304.10,TM9SF2,chr13,+,ENSG00000125304.10:s:na-99536395,ENSG00000125304.10_1_A3_1,TRUE,alt3^1|ir^5|afe^5|putative_afe^5|orphan_junc^4|other^1,TRUE,Proximal,chr13:99536395-99562879,FALSE,FALSE,TRUE,0,0.149,0.127,0.96,0.017,AFE/ALE,0.127
102,ENSG00000125304.10_1,ENSG00000125304.10,TM9SF2,chr13,+,ENSG00000125304.10:t:99562691-99564048,ENSG00000125304.10_1_afe_2,TRUE,alt3^1|ir^5|afe^5|putative_afe^5|orphan_junc^4|other^1,TRUE,Distal,chr13:99536395-99562879,FALSE,FALSE,TRUE,0.001,0.143,0.119,0.953,0.021,AFE/ALE,0.119
103,ENSG00000125304.10_1,ENSG00000125304.10,TM9SF2,chr13,+,ENSG00000125304.10:t:99562691-99564048,ENSG00000125304.10_1_afe_3,TRUE,alt3^1|ir^5|afe^5|putative_afe^5|orphan_junc^4|other^1,TRUE,Distal,chr13:99536395-99563408,FALSE,FALSE,FALSE,0.001,0.139,0.115,0.949,0.023,AFE/ALE,0.115
104,ENSG00000127419.17_1,ENSG00000127419.17,TMEM175,chr4,+,ENSG00000127419.17:s:932387-932540,ENSG00000127419.17_1_MES_3,TRUE,cassette^1|ir^4|ale^1|afe^4|multi_exon_spanning^5|other^1,FALSE,C1_A,chr4:932540-947709,FALSE,FALSE,TRUE,0,0.165,0.145,1,0,cassette,0.145
105,ENSG00000127603.32_9,ENSG00000127603.32,MACF1,chr1,+,ENSG00000127603.32:s:39435558-39436007,ENSG00000127603.32_9_CE_1,TRUE,cassette^1|ir^4,FALSE,C1_A,chr1:39435761-39436482,FALSE,FALSE,TRUE,0.036,0.13,0.099,0.957,0.023,cassette,0.099
106,ENSG00000128011.5_2,ENSG00000128011.5,LRFN1,chr19,-,ENSG00000128011.5:s:39318326-39318358,ENSG00000128011.5_2_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr19:39316786-39318326,FALSE,FALSE,TRUE,0.001,0.144,0.119,0.996,0.002,cassette,0.119
107,ENSG00000129595.14_1,ENSG00000129595.14,EPB41L4A,chr5,-,ENSG00000129595.14:s:112275239-112275404,ENSG00000129595.14_1_CE_1,FALSE,cassette^1,TRUE,C1_A,chr5:112267284-112275326,FALSE,TRUE,TRUE,0.024,0.895,0.882,1,0,cassette,0.882
108,ENSG00000129596.5_1,ENSG00000129596.5,CDO1,chr5,-,ENSG00000129596.5:s:115816228-115816659,ENSG00000129596.5_1_CE_1,TRUE,cassette^1|ir^2|ale^2|multi_exon_spanning^1,FALSE,C1_A,chr5:115813954-115816228,FALSE,TRUE,TRUE,0.022,0.315,0.295,1,0,cassette,0.295
109,ENSG00000130477.16_5,ENSG00000130477.16,UNC13A,chr19,-,ENSG00000130477.16:s:17642845-17642960,ENSG00000130477.16_5_CE_1,TRUE,cassette^2|alt3^1|ir^5,TRUE,C1_A,chr19:17642541-17642845,FALSE,TRUE,TRUE,0,0.492,0.479,1,0,cassette,0.479
110,ENSG00000130477.16_5,ENSG00000130477.16,UNC13A,chr19,-,ENSG00000130477.16:t:17641393-17641556,ENSG00000130477.16_5_CE_2,TRUE,cassette^2|alt3^1|ir^5,TRUE,C2_A,chr19:17641556-17642414,FALSE,FALSE,TRUE,0,0.42,0.403,1,0,cassette,0.403
111,ENSG00000130508.11_8,ENSG00000130508.11,PXDN,chr2,-,ENSG00000130508.11:s:1653076-1653785,ENSG00000130508.11_8_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr2:1650886-1653628,FALSE,TRUE,TRUE,0.003,0.449,0.436,1,0,cassette,0.436
112,ENSG00000130559.19_3,ENSG00000130559.19,CAMSAP1,chr9,-,ENSG00000130559.19:t:135838443-135838459,ENSG00000130559.19_3_pAFE_1,TRUE,putative_afe^12|orphan_junc^1|other^1,TRUE,Proximal,chr9:135838459-135838529,FALSE,FALSE,TRUE,0.003,0.151,0.124,0.972,0.012,AFE/ALE,0.124
113,ENSG00000131018.25_15,ENSG00000131018.25,SYNE1,chr6,-,ENSG00000131018.25:s:152249161-152249262,ENSG00000131018.25_15_CE_1,FALSE,cassette^1,TRUE,C1_A,chr6:152247944-152249161,FALSE,TRUE,TRUE,0.001,0.216,0.188,1,0,cassette,0.188
114,ENSG00000131127.14_2,ENSG00000131127.14,ZNF141,chr4,+,ENSG00000131127.14:s:372664-373234,ENSG00000131127.14_2_pALE_1,TRUE,ir^1|putative_ale^1,TRUE,Proximal,chr4:373234-373403,FALSE,TRUE,TRUE,0.003,0.346,0.32,1,0,AFE/ALE,0.32
115,ENSG00000131149.19_1,ENSG00000131149.19,GSE1,chr16,+,ENSG00000131149.19:s:85555967-85556363;ENSG00000131149.19:s:85613322-85613398;ENSG00000131149.19:s:na-85463125,ENSG00000131149.19_1_OR_1,TRUE,cassette^2|afe^6|putative_afe^8|orphan_junc^1|multi_exon_spanning^2,TRUE,Orphan,chr16:85463125-85522420,FALSE,FALSE,TRUE,0.003,0.167,0.145,0.995,0.002,cassette,0.145
116,ENSG00000131446.17_1,ENSG00000131446.17,MGAT1,chr5,-,ENSG00000131446.17:t:180808836-180809076,ENSG00000131446.17_1_A5_2,TRUE,alt5^3|afe^10|multi_exon_spanning^3,TRUE,Distal,chr5:180809076-180809795,FALSE,TRUE,TRUE,0.001,0.3,0.278,1,0,AFE/ALE,0.278
117,ENSG00000132182.13_4,ENSG00000132182.13,NUP210,chr3,-,ENSG00000132182.13:s:13375504-13375641,ENSG00000132182.13_4_MES_1,TRUE,tandem_cassette^1|putative_alt3^1|putative_alt5^1|ir^5|multi_exon_spanning^4,FALSE,C1_A,chr3:13373873-13375504,FALSE,TRUE,TRUE,0.014,0.304,0.279,1,0,cassette,0.279
118,ENSG00000132669.14_4,ENSG00000132669.14,RIN2,chr20,+,ENSG00000132669.14:s:19964952-19965024,ENSG00000132669.14_4_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr20:19965024-19968392,FALSE,TRUE,TRUE,0.001,0.241,0.222,1,0,cassette,0.222
119,ENSG00000132953.18_5,ENSG00000132953.18,XPO4,chr13,-,ENSG00000132953.18:s:20800113-20800325,ENSG00000132953.18_5_A5_1,FALSE,alt5^1,TRUE,Proximal,chr13:20799339-20800113,FALSE,FALSE,TRUE,0.013,0.205,0.18,0.994,0.002,AFE/ALE,0.18
120,ENSG00000134058.12_1,ENSG00000134058.12,CDK7,chr5,+,ENSG00000134058.12:t:69262205-69262304,ENSG00000134058.12_1_CE_1,TRUE,cassette^1|ir^4,TRUE,C2_A,chr5:69261458-69262205,FALSE,FALSE,TRUE,0.001,0.28,0.258,1,0,cassette,0.258
121,ENSG00000134152.11_2,ENSG00000134152.11,KATNBL1,chr15,-,ENSG00000134152.11:s:34145398-34145855,ENSG00000134152.11_2_ale_1,TRUE,ale^4|multi_exon_spanning^1,FALSE,Proximal,chr15:34143024-34145398,FALSE,FALSE,TRUE,0.013,0.174,0.15,0.988,0.004,AFE/ALE,0.15
122,ENSG00000134909.19_4,ENSG00000134909.19,ARHGAP32,chr11,-,ENSG00000134909.19:s:128998319-128998468,ENSG00000134909.19_4_pALE_1,FALSE,putative_ale^1,TRUE,Proximal,chr11:128992046-128998319,FALSE,TRUE,TRUE,0.009,0.709,0.703,1,0,AFE/ALE,0.703
123,ENSG00000135090.14_4,ENSG00000135090.14,TAOK3,chr12,-,ENSG00000135090.14:s:118152227-118152753,ENSG00000135090.14_4_CE_1,FALSE,cassette^1,TRUE,C1_A,chr12:118151995-118152227,FALSE,FALSE,TRUE,0.019,0.165,0.144,1,0,cassette,0.144
124,ENSG00000135596.18_4,ENSG00000135596.18,MICAL1,chr6,-,ENSG00000135596.18:t:109447681-109447722,ENSG00000135596.18_4_CE_3,TRUE,cassette^6|tandem_cassette^1|alt3^1|alt5^1|putative_alt3^1|putative_alt5^2|ir^20|afe^3|multi_exon_spanning^8,TRUE,C2_A,chr6:109447722-109448161,FALSE,FALSE,TRUE,0.007,0.138,0.111,0.976,0.012,cassette,0.111
125,ENSG00000135966.13_2,ENSG00000135966.13,TGFBRAP1,chr2,-,ENSG00000135966.13:s:105307483-105308321,ENSG00000135966.13_2_A5_1,FALSE,alt5^1,TRUE,Proximal,chr2:105298705-105307483,FALSE,FALSE,TRUE,0.007,0.137,0.113,0.955,0.021,AFE/ALE,0.113
126,ENSG00000135976.21_15,ENSG00000135976.21,ANKRD36,chr2,+,ENSG00000135976.21:s:97247476-97249050,ENSG00000135976.21_15_CE_1,TRUE,cassette^1|ir^2,TRUE,C1_C2,chr2:97247628-97249552,FALSE,FALSE,TRUE,0.007,0.249,-0.221,1,0,skipping,0.221
127,ENSG00000136153.20_1,ENSG00000136153.20,LMO7,chr13,+,ENSG00000136153.20:t:75809154-75809183,ENSG00000136153.20_1_afe_1,TRUE,cassette^1|afe^1|multi_exon_spanning^1,FALSE,Distal,chr13:75804541-75809154,FALSE,FALSE,FALSE,0.022,0.2,0.152,0.921,0.016,AFE/ALE,0.152
128,ENSG00000136682.16_1,ENSG00000136682.16,CBWD2,chr2,+,ENSG00000136682.16:s:113465129-113465173,ENSG00000136682.16_1_pALE_1,TRUE,ir^2|putative_ale^2,TRUE,Proximal,chr2:113465173-113466483,FALSE,FALSE,TRUE,0.02,0.2,0.162,0.988,0.003,AFE/ALE,0.162
129,ENSG00000137872.17_1,ENSG00000137872.17,SEMA6D,chr15,+,ENSG00000137872.17:s:47412393-47412472,ENSG00000137872.17_1_CE_6,TRUE,cassette^6|mxe^1|ir^4|ale^4|multi_exon_spanning^4,TRUE,C1_A,chr15:47412472-47469226,FALSE,TRUE,TRUE,0.002,0.217,0.197,1,0,cassette,0.197
130,ENSG00000138107.13_4,ENSG00000138107.13,ACTR1A,chr10,-,ENSG00000138107.13:s:102479229-102480965,ENSG00000138107.13_4_pALE_1,TRUE,ir^1|putative_ale^1,TRUE,Proximal,chr10:102479201-102480536,FALSE,FALSE,TRUE,0.011,0.181,0.152,0.984,0.004,AFE/ALE,0.152
131,ENSG00000138758.12_2,ENSG00000138758.12,SEPTIN11,chr4,+,ENSG00000138758.12:s:77030897-77032158,ENSG00000138758.12_2_CE_1,TRUE,cassette^1|ir^6|putative_ale^3|putative_afe^3,TRUE,C1_A,chr4:77030970-77032457,FALSE,FALSE,TRUE,0.005,0.171,0.152,1,0,cassette,0.152
132,ENSG00000139116.19_4,ENSG00000139116.19,KIF21A,chr12,-,ENSG00000139116.19:s:39330746-39330911,ENSG00000139116.19_4_CE_1,TRUE,cassette^1|ir^2,FALSE,C1_C2,chr12:39326324-39330746,FALSE,FALSE,FALSE,0.03,0.119,-0.096,0.932,0.036,skipping,0.096
133,ENSG00000139116.19_1,ENSG00000139116.19,KIF21A,chr12,-,ENSG00000139116.19:s:39442927-39443390,ENSG00000139116.19_1_CE_1,TRUE,cassette^1|afe^2|multi_exon_spanning^1,TRUE,C1_A,chr12:39389244-39442927,FALSE,FALSE,TRUE,0.001,0.248,0.224,1,0,cassette,0.224
134,ENSG00000139116.19_1,ENSG00000139116.19,KIF21A,chr12,-,ENSG00000139116.19:t:39370039-39370261,ENSG00000139116.19_1_afe_1,TRUE,cassette^1|afe^2|multi_exon_spanning^1,TRUE,Proximal,chr12:39370261-39386971,FALSE,FALSE,TRUE,0.001,0.135,0.11,1,0,AFE/ALE,0.11
135,ENSG00000139173.10_1,ENSG00000139173.10,TMEM117,chr12,+,ENSG00000139173.10:s:43835967-43836196,ENSG00000139173.10_1_ale_1,FALSE,ale^1,TRUE,Proximal,chr12:43836196-43836744,FALSE,TRUE,TRUE,0.006,0.812,0.796,1,0,AFE/ALE,0.796
136,ENSG00000139767.10_4,ENSG00000139767.10,SRRM4,chr12,+,ENSG00000139767.10:t:119144539-119144554,ENSG00000139767.10_4_MES_1,TRUE,cassette^2|ir^6|multi_exon_spanning^5,,A_C2,chr12:,FALSE,FALSE,TRUE,0.013,0.195,0.162,0.997,0.001,cassette,0.162
137,ENSG00000140521.17_4,ENSG00000140521.17,POLG,chr15,-,ENSG00000140521.17:t:89321962-89322015,ENSG00000140521.17_4_CE_1,FALSE,cassette^1,FALSE,C2_C1,chr15:89322015-89323404,FALSE,FALSE,TRUE,0.02,0.189,-0.154,0.972,0.007,skipping,0.154
138,ENSG00000140538.17_1,ENSG00000140538.17,NTRK3,chr15,-,ENSG00000140538.17:t:88256284-88256486,ENSG00000140538.17_1_A5_1,TRUE,alt5^1|ir^2,TRUE,Proximal,chr15:88256486-88256605,FALSE,FALSE,TRUE,0.001,0.132,0.105,0.955,0.023,AFE/ALE,0.105
139,ENSG00000140807.7_1,ENSG00000140807.7,NKD1,chr16,+,ENSG00000140807.7:s:50608294-50608360,ENSG00000140807.7_1_CE_1,TRUE,cassette^2|alt5^1,TRUE,C1_A,chr16:50608360-50620845,FALSE,FALSE,TRUE,0.001,0.408,0.391,1,0,cassette,0.391
140,ENSG00000140807.7_1,ENSG00000140807.7,NKD1,chr16,+,ENSG00000140807.7:t:50621602-50621708,ENSG00000140807.7_1_A5_1,TRUE,cassette^2|alt5^1,TRUE,Proximal,chr16:50620949-50621602,FALSE,FALSE,TRUE,0.001,0.456,0.443,1,0,AFE/ALE,0.443
141,ENSG00000141391.14_1,ENSG00000141391.14,PRELID3A,chr18,+,ENSG00000141391.14:s:12429350-12429436,ENSG00000141391.14_1_CE_1,TRUE,cassette^1|alt5^1,TRUE,C1_A,chr18:12429436-12430178,FALSE,TRUE,TRUE,0.003,0.529,0.512,1,0,cassette,0.512
142,ENSG00000141577.14_1,ENSG00000141577.14,CEP131,chr17,-,ENSG00000141577.14:t:81207125-81207239,ENSG00000141577.14_1_pAFE_1,TRUE,putative_afe^4|other^1,TRUE,Distal,chr17:81207239-81208144,FALSE,FALSE,TRUE,0.001,0.17,0.144,0.995,0.002,AFE/ALE,0.144
143,ENSG00000142449.13_12,ENSG00000142449.13,FBN3,chr19,-,ENSG00000142449.13:s:8085363-8085569,ENSG00000142449.13_12_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr19:8084411-8085363,FALSE,TRUE,TRUE,0.002,0.74,0.733,1,0,cassette,0.733
144,ENSG00000142549.10_1,ENSG00000142549.10,IGLON5,chr19,+,ENSG00000142549.10:s:51311644-51311926,ENSG00000142549.10_1_CE_1,FALSE,cassette^1,TRUE,C1_A,chr19:51311926-51320386,FALSE,TRUE,TRUE,0.001,0.24,0.215,1,0,cassette,0.215
145,ENSG00000143748.18_2,ENSG00000143748.18,NVL,chr1,-,ENSG00000143748.18:t:224311800-224312124,ENSG00000143748.18_2_CE_5,TRUE,cassette^8|tandem_cassette^4|alt3^1|alt5^1|multi_exon_spanning^4,TRUE,C2_A,chr1:224311857-224313034,FALSE,FALSE,TRUE,0.036,0.185,0.151,0.974,0.008,cassette,0.151
146,ENSG00000144191.12_1,ENSG00000144191.12,CNGA3,chr2,+,ENSG00000144191.12:t:98377687-98377800,ENSG00000144191.12_1_pAFE_1,FALSE,putative_afe^1,TRUE,Proximal,chr2:98376036-98377687,FALSE,TRUE,TRUE,0.038,0.301,0.253,0.995,0,AFE/ALE,0.253
147,ENSG00000144674.17_2,ENSG00000144674.17,GOLGA4,chr3,+,ENSG00000144674.17:s:37251395-37251484,ENSG00000144674.17_2_CE_1,TRUE,cassette^2|tandem_cassette^1|ir^2|multi_exon_spanning^1|other^1,TRUE,C1_A,chr3:37251484-37267228,FALSE,FALSE,FALSE,0.008,0.133,0.103,0.903,0.049,cassette,0.103
148,ENSG00000144736.14_1,ENSG00000144736.14,SHQ1,chr3,-,ENSG00000144736.14:t:72749277-72750836,ENSG00000144736.14_1_afe_1,TRUE,cassette^1|afe^3|putative_afe^3|multi_exon_spanning^1,TRUE,Proximal,chr3:72750836-72762906,FALSE,FALSE,TRUE,0.001,0.306,0.286,1,0,AFE/ALE,0.286
149,ENSG00000145087.13_1,ENSG00000145087.13,STXBP5L,chr3,+,ENSG00000145087.13:t:120909571-120909767,ENSG00000145087.13_1_A5_1,TRUE,alt5^3|afe^3,TRUE,Proximal,chr3:120908416-120909571,FALSE,TRUE,TRUE,0.001,0.222,0.193,1,0,AFE/ALE,0.193
150,ENSG00000145087.13_1,ENSG00000145087.13,STXBP5L,chr3,+,ENSG00000145087.13:t:120909571-120909767,ENSG00000145087.13_1_A5_2,TRUE,alt5^3|afe^3,TRUE,Proximal,chr3:120908428-120909571,FALSE,TRUE,TRUE,0.001,0.409,0.382,1,0,AFE/ALE,0.382
151,ENSG00000145907.16_2,ENSG00000145907.16,G3BP1,chr5,+,ENSG00000145907.16:s:151786572-151786715,ENSG00000145907.16_2_CE_1,FALSE,cassette^1,FALSE,C1_A,chr5:151786715-151787765,FALSE,TRUE,TRUE,0.033,0.571,0.566,1,0,cassette,0.566
152,ENSG00000146197.9_1,ENSG00000146197.9,SCUBE3,chr6,+,ENSG00000146197.9:t:35227580-35227702,ENSG00000146197.9_1_CE_1,TRUE,cassette^3|alt3^3|putative_ale^4,TRUE,C2_A,chr6:35218198-35227580,FALSE,FALSE,TRUE,0.045,0.23,0.191,1,0,cassette,0.191
153,ENSG00000146556.15_3,ENSG00000146556.15,WASH2P,chr2,+,ENSG00000146556.15:s:113598398-113598506,ENSG00000146556.15_3_A5_1,FALSE,alt5^1,TRUE,Proximal,chr2:113598506-113598607,FALSE,FALSE,FALSE,0.009,0.167,0.137,0.946,0.017,AFE/ALE,0.137
154,ENSG00000147679.12_1,ENSG00000147679.12,UTP23,chr8,+,ENSG00000147679.12:s:116770098-116770849,ENSG00000147679.12_1_ale_1,TRUE,ir^2|ale^2|multi_exon_spanning^2,FALSE,Distal,chr8:116770366-116779483,FALSE,FALSE,FALSE,0.045,0.253,0.184,0.932,0.008,AFE/ALE,0.184
155,ENSG00000148606.14_3,ENSG00000148606.14,POLR3A,chr10,-,ENSG00000148606.14:s:78009864-78009991,ENSG00000148606.14_3_CE_1,FALSE,cassette^1,FALSE,C1_C2,chr10:78007866-78009864,FALSE,FALSE,TRUE,0.028,0.214,-0.184,0.999,0,skipping,0.184
156,ENSG00000149262.18_5,ENSG00000149262.18,INTS4,chr11,-,ENSG00000149262.18:s:77886514-77886515,ENSG00000149262.18_5_MES_1,TRUE,putative_alt5^1|ir^10|ale^6|afe^2|putative_afe^1|multi_exon_spanning^5,TRUE,C1_A,chr11:77883953-77886513,FALSE,FALSE,TRUE,0.031,0.742,0.72,1,0,cassette,0.72
157,ENSG00000149428.21_2,ENSG00000149428.21,HYOU1,chr11,-,ENSG00000149428.21:s:119056070-119056167,ENSG00000149428.21_2_CE_1,FALSE,cassette^1,FALSE,C1_C2,chr11:119055571-119056070,FALSE,FALSE,TRUE,0.02,0.176,-0.155,1,0,skipping,0.155
158,ENSG00000149557.14_1,ENSG00000149557.14,FEZ1,chr11,-,ENSG00000149557.14:t:125488927-125489822,ENSG00000149557.14_1_A5_1,TRUE,alt5^1|afe^2,FALSE,Proximal,chr11:125489822-125495836,FALSE,TRUE,TRUE,0.027,0.278,0.258,1,0,AFE/ALE,0.258
159,ENSG00000150991.16_1,ENSG00000150991.16,UBC,chr12,-,ENSG00000150991.16:s:124912735-124912864,ENSG00000150991.16_1_MES_6,TRUE,putative_alt3^6|putative_alt5^9|alt3_5^8|mxe^10|ir^44|multi_exon_spanning^33,FALSE,C1_A,chr12:124912735-124912734,FALSE,FALSE,TRUE,0.003,0.182,0.157,1,0,cassette,0.157
160,ENSG00000150991.16_1,ENSG00000150991.16,UBC,chr12,-,ENSG00000150991.16:t:124912409-124912506,ENSG00000150991.16_1_MES_19,TRUE,putative_alt3^6|putative_alt5^9|alt3_5^8|mxe^10|ir^44|multi_exon_spanning^33,FALSE,A_C2,chr12:124912507-124912506,FALSE,FALSE,TRUE,0.024,0.119,0.102,0.991,0.005,cassette,0.102
161,ENSG00000151208.17_5,ENSG00000151208.17,DLG5,chr10,-,ENSG00000151208.17:s:77793544-77794117,ENSG00000151208.17_5_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr10:77793235-77794008,FALSE,FALSE,TRUE,0.001,0.14,0.116,0.999,0,cassette,0.116
162,ENSG00000151692.15_5,ENSG00000151692.15,RNF144A,chr2,+,ENSG00000151692.15:s:7030126-7030215,ENSG00000151692.15_5_ale_1,TRUE,ale^2|putative_ale^4,TRUE,Proximal,chr2:7030215-7031277,FALSE,TRUE,TRUE,0.032,0.289,0.261,1,0,AFE/ALE,0.261
163,ENSG00000151692.15_5,ENSG00000151692.15,RNF144A,chr2,+,ENSG00000151692.15:s:7030126-7030215,ENSG00000151692.15_5_ale_2,TRUE,ale^2|putative_ale^4,TRUE,Distal,chr2:7030215-7045356,FALSE,FALSE,FALSE,0.036,0.152,0.112,0.902,0.039,AFE/ALE,0.112
164,ENSG00000151806.14_3,ENSG00000151806.14,GUF1,chr4,+,ENSG00000151806.14:t:44694409-44694513,ENSG00000151806.14_3_pAFE_1,TRUE,ir^2|putative_afe^2,TRUE,Proximal,chr4:44692794-44694412,FALSE,FALSE,TRUE,0.034,0.19,0.157,0.983,0.005,AFE/ALE,0.157
